size,num_threads,seq_time,naive_parallel_time,smart_parallel_time,task_parallel_time
100,1,7.1,71.7,25,32.7
100,2,7.1,365.7,76.8,158.9
100,4,7.1,1153.8,48.8,256.3
100,6,7.2,3394.5,44.4,389.4
100,8,8,885.7,42.5,373.2
100,12,7.1,4493.5,44.3,528.2
100,16,7.1,5114.7,43.6,762.7
100,20,7.1,3736.7,43.2,871.1
100,26,7.1,6005.5,49.9,1262.1
100,32,7.1,5591.1,52.2,1843.4
200,1,31,284.3,67.6,71
200,2,30,1132.4,162,408.2
200,4,30,1047,96.6,530.9
200,6,30,2259,88.1,812.2
200,8,30,1821.6,95.3,1010
200,12,30,1729.4,71.7,957.2
200,16,31.1,1417.9,79.3,1733.5
200,20,31,2490.6,79.5,2259.7
200,26,30,2758.4,88.2,3200.7
200,32,30,8184.7,100,3342.2
400,1,121.4,1138.6,189,182.9
400,2,119,5043.6,271.6,689.1
400,4,120.9,4687.6,188.5,917.4
400,6,119,6068.3,185.8,1603.6
400,8,119,6886.8,170.7,1645.4
400,12,119.8,5219.3,154.9,2502.7
400,16,120,6696.5,177.9,3083.8
400,20,120.5,8951.7,195.9,4004.5
400,26,120.3,6891,158.7,5997.2
400,32,118.1,11494,211.1,5045.7
800,1,473.8,4539.2,609.1,553.8
800,2,477.7,24610.5,452.2,987.3
800,4,474.6,17026.2,413.8,1775.7
800,6,474.6,12052,269.5,1343.6
800,8,472.2,13643.5,344.2,2432.3
800,12,475.3,15289.2,320,4794.9
800,16,472.2,14740.7,304.7,5088.5
800,20,473.8,16828.5,307.1,8039
800,26,475.6,19295.9,317.2,10737
800,32,473.9,18468.7,311.8,10703
1600,1,1886.9,18145.9,2156.4,1896.9
1600,2,1884.8,71265.2,1380.7,1981.4
1600,4,1886.8,68140.4,1028.9,3788.3
1600,6,1888,58688.4,825.6,5395.7
1600,8,1889.2,58732.1,717.6,6224.8
1600,12,1887,50182.1,651.2,8676.9
1600,16,1887.4,58184.6,639.8,12883.1
1600,20,1889.6,45462.9,594.9,10647.8
1600,26,1885,42642.5,700.5,11831.4
1600,32,1885.6,43166.7,643.3,13289.8
3200,1,7529.2,72612.5,8049.7,6985.7
3200,2,7523.2,384248,4437.5,4993.3
3200,4,7531.4,277917,2582.8,5009.6
3200,6,7525.6,254692,2004.7,4964.8
3200,8,7534.2,249367,1697.1,13394.6
3200,12,7523.5,212868,1460.3,18939.9
3200,16,7538.6,208304,1331.2,27129
3200,20,7523.8,174728,1320.1,19456.7
3200,26,7519.4,198035,1209.6,48586.1
3200,32,7544.5,192075,1403.8,34684.2
6400,1,30111,290631,31153,26544.3
6400,2,30111.4,1.24616e+06,16326.8,16487.6
6400,4,30106.9,1.11008e+06,8706,8467.6
6400,6,30098.9,1.01536e+06,5974.7,6388.7
6400,8,30108.8,1.00326e+06,4668.3,9675.8
6400,12,30114,948483,3395.1,36826.7
6400,16,30099.4,822661,3000.9,53181.3
6400,20,30111,817661,2802.3,66910.1
6400,26,30118,791780,2789.9,94097.8
6400,32,30115.2,742390,2780,128972
12800,1,120436,1.16199e+06,122453,105019
12800,2,120449,6.53045e+06,62959.2,58274.6
12800,4,120441,4.6413e+06,31868.5,29024.4
12800,6,120406,4.05323e+06,21452.6,19925.7
12800,8,120381,4.10034e+06,16397.2,15512.4
12800,12,120418,3.79759e+06,11339.8,68560.5
12800,16,120408,3.6577e+06,8525.3,90389
12800,20,120433,3.29138e+06,7399.7,125207
12800,26,120542,3.14687e+06,6135.7,177845
12800,32,120406,3.09923e+06,5367,249193
