size,num_threads,vec_autoAdd,addVectors,multVecByNum,scalarProduct
100,1,0.500000,0.000000,0.000000,0.000000
100,2,12.100000,3.100000,2.900000,3.400000
100,4,1112.200000,3.700000,3.900000,4.500000
100,6,1759.000000,6.900000,4.200000,5.100000
100,8,2980.800000,3.900000,3.600000,5.100000
100,12,3360.600000,4.900000,4.200000,5.900000
100,16,3009.700000,3.000000,2.900000,4.200000
100,20,4186.900000,5.900000,5.600000,7.900000
100,26,2571.100000,6.300000,6.600000,9.300000
100,32,13335.600000,8.700000,8.600000,12.900000
1000,1,2.000000,0.200000,0.000000,1.000000
1000,2,10.200000,3.600000,2.900000,4.100000
1000,4,912.200000,3.100000,2.600000,2.900000
1000,6,14.300000,4.500000,2.700000,3.500000
1000,8,3133.300000,4.500000,4.000000,4.600000
1000,12,1599.500000,4.500000,3.900000,5.100000
1000,16,2310.200000,6.300000,5.600000,7.600000
1000,20,2921.600000,6.900000,5.700000,8.600000
1000,26,3724.900000,7.600000,6.900000,10.600000
1000,32,2676.700000,10.100000,8.600000,12.600000
10000,1,14.300000,6.800000,3.000000,14.000000
10000,2,25.300000,7.100000,3.900000,10.000000
10000,4,22.700000,9.100000,3.500000,6.300000
10000,6,1902.600000,6.100000,3.400000,6.000000
10000,8,2563.600000,5.500000,3.300000,5.800000
10000,12,2973.800000,7.500000,4.500000,7.100000
10000,16,1785.900000,9.200000,7.400000,10.000000
10000,20,4115.800000,8.600000,6.600000,9.600000
10000,26,4971.200000,11.300000,8.600000,12.200000
10000,32,2895.800000,13.300000,9.200000,15.500000
100000,1,143.800000,122.400000,57.700000,143.300000
100000,2,152.900000,61.300000,17.100000,73.300000
100000,4,112.300000,28.300000,9.700000,38.400000
100000,6,83.400000,43.100000,9.800000,27.300000
100000,8,1824.800000,19.500000,7.600000,22.400000
100000,12,63.100000,35.000000,14.100000,16.800000
100000,16,1632.600000,22.600000,7.700000,15.600000
100000,20,2436.300000,19.500000,6.800000,13.600000
100000,26,3911.300000,22.700000,8.400000,14.900000
100000,32,5882.100000,23.700000,8.600000,15.800000
1000000,1,1444.100000,1478.800000,710.400000,1450.600000
1000000,2,764.600000,729.700000,331.700000,721.600000
1000000,4,826.800000,400.400000,177.900000,362.600000
1000000,6,3246.600000,273.700000,114.300000,243.100000
1000000,8,3885.800000,327.500000,162.600000,185.900000
1000000,12,2349.000000,215.600000,112.200000,124.600000
1000000,16,2232.400000,180.700000,83.800000,99.000000
1000000,20,4308.900000,155.600000,63.700000,79.300000
1000000,26,7119.900000,133.400000,41.100000,64.700000
1000000,32,9573.300000,124.500000,33.100000,56.100000
10000000,1,14885.600000,20737.700000,12644.700000,16298.300000
10000000,2,7559.500000,12598.200000,7128.500000,8817.400000
10000000,4,7732.200000,7003.900000,4024.100000,4659.100000
10000000,6,3364.200000,7390.700000,2804.800000,3264.100000
10000000,8,8374.600000,5855.500000,2731.200000,2420.600000
10000000,12,5930.800000,5502.400000,2802.000000,2602.200000
10000000,16,3318.800000,4255.000000,1943.500000,1971.300000
10000000,20,11428.300000,3419.700000,2188.600000,1604.800000
10000000,26,4641.000000,4180.000000,1930.500000,1909.600000
10000000,32,11929.200000,2753.500000,1491.600000,1115.000000
100000000,1,148397.100000,215539.600000,133726.600000,166442.300000
100000000,2,78265.100000,135993.200000,80379.500000,92419.900000
100000000,4,41029.700000,71620.000000,41925.000000,47633.400000
100000000,6,28351.500000,51541.200000,29606.800000,32405.900000
100000000,8,22893.400000,43097.700000,24063.300000,25498.900000
100000000,12,21544.000000,43071.600000,21235.000000,20759.200000
100000000,16,22942.900000,43642.700000,21819.400000,19932.000000
100000000,20,24526.500000,48857.600000,26754.000000,23500.200000
100000000,26,24333.900000,44800.900000,22671.900000,21342.000000
100000000,32,26780.200000,45268.600000,22571.000000,21704.300000
