size,num_threads,seq_time,naive_parallel_time,smart_parallel_time,task_parallel_time
100,1,6,60.3,21.2,28.9
100,2,6.1,131.6,32.5,55.7
100,4,8.2,123.4,39.5,90
200,1,30,294.1,68.3,76.5
200,2,24.9,579.3,66.9,110
200,4,24.8,598,69.5,165.8
400,1,91.2,1087.4,156.8,163.7
400,2,101.6,2035.6,131.8,223.5
400,4,99.9,2473,122.9,321.4
800,1,387.5,3845.5,508.5,525.5
800,2,488.8,7719.5,357.1,451.7
800,4,551.3,9464.1,273.4,571.3
1600,1,1446.9,15293.5,1691.5,1713.4
1600,2,1453.4,30761.2,1039.3,1243
1600,4,1444.1,39520,713.2,935.6
3200,1,5872.5,61589.7,6344.2,6312.3
3200,2,5875.2,125562,3735.4,4251
3200,4,5872.1,156961,2190.2,2565.6
6400,1,23640.6,245589,24612.8,24147
6400,2,23589.4,629394,13426.4,14114.6
6400,4,23570.7,626787,7648.4,7999.4
12800,1,94498.4,984678,96445.5,94498
12800,2,94730.6,2.5706e+06,50378,51001.7
12800,4,94564.9,2.51271e+06,29058.8,28710.5
