size,num_threads,mat_autoAdd,addMatrices,multMatByNum,multMatrices,matByVec
100,1,9.100000,9.000000,9.000000,7646.100000,73.600000
100,2,5.000000,10.100000,5.000000,4249.300000,40.400000
100,4,4.000000,4.000000,3.900000,2230.200000,22.200000
200,1,38.000000,33.100000,32.000000,33685.700000,165.100000
200,2,20.000000,19.600000,18.000000,18538.600000,90.600000
200,4,11.000000,10.100000,10.000000,9961.800000,49.000000
400,1,154.500000,138.100000,127.100000,174473.600000,409.500000
400,2,78.100000,88.800000,94.000000,93640.200000,220.200000
400,4,45.100000,47.700000,38.800000,50720.800000,118.700000
800,1,629.800000,1080.600000,676.300000,1078044.500000,1129.700000
800,2,356.500000,964.200000,537.000000,570835.200000,611.000000
800,4,193.700000,811.900000,462.700000,310580.000000,334.400000
1600,1,2539.000000,4676.500000,3263.100000,36930077.600000,3583.500000
1600,2,1462.200000,4055.200000,2960.300000,19165595.600000,1932.100000
1600,4,920.700000,3923.100000,2982.300000,10172651.700000,1133.600000
