size,num_threads,vec_autoAdd,addVectors,multVecByNum,scalarProduct
100,1,0.200000,0.000000,0.000000,0.000000
100,2,5.700000,0.800000,0.300000,1.000000
100,4,6.500000,1.000000,1.000000,1.000000
1000,1,1.500000,0.100000,0.000000,1.000000
1000,2,6.000000,1.300000,1.000000,1.000000
1000,4,8.900000,1.300000,1.000000,1.300000
10000,1,14.300000,10.500000,4.900000,12.000000
10000,2,11.000000,5.000000,3.000000,6.000000
10000,4,10.900000,3.300000,2.000000,4.000000
100000,1,169.600000,162.400000,92.900000,154.500000
100000,2,54.500000,50.000000,27.000000,49.000000
100000,4,40.600000,33.200000,17.200000,32.100000
1000000,1,983.900000,1834.400000,1225.200000,1120.400000
1000000,2,540.700000,1555.100000,1116.200000,780.300000
1000000,4,333.300000,1457.900000,1007.100000,714.900000
10000000,1,10049.900000,18161.300000,12314.100000,12069.400000
10000000,2,5427.400000,15499.600000,11327.000000,8061.100000
10000000,4,3660.100000,14908.000000,11192.200000,7316.400000
100000000,1,101993.300000,194372.500000,125796.200000,121783.400000
100000000,2,53413.800000,156001.300000,112999.600000,81112.400000
100000000,4,36647.700000,148326.800000,112055.400000,73391.400000
